"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2019","AQS","060370002","2","16.9","ppb","15","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/02/2019","AQS","060370002","2","31.7","ppb","29","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/03/2019","AQS","060370002","2","34.5","ppb","32","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/04/2019","AQS","060370002","2","41.8","ppb","39","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/05/2019","AQS","060370002","2","32.4","ppb","30","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/06/2019","AQS","060370002","2","22.8","ppb","21","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/07/2019","AQS","060370002","2","29.5","ppb","27","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/08/2019","AQS","060370002","2","22","ppb","21","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/09/2019","AQS","060370002","2","36","ppb","34","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/10/2019","AQS","060370002","2","36.5","ppb","34","Azusa","21","88.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/11/2019","AQS","060370002","2","35.2","ppb","33","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/12/2019","AQS","060370002","2","31","ppb","29","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/13/2019","AQS","060370002","2","12.9","ppb","11","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/14/2019","AQS","060370002","2","20","ppb","19","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/15/2019","AQS","060370002","2","15.2","ppb","14","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/16/2019","AQS","060370002","2","21.6","ppb","20","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/17/2019","AQS","060370002","2","26.4","ppb","25","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/18/2019","AQS","060370002","2","27","ppb","25","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/19/2019","AQS","060370002","2","12.5","ppb","11","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/20/2019","AQS","060370002","2","20.1","ppb","19","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/21/2019","AQS","060370002","2","30.3","ppb","28","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/22/2019","AQS","060370002","2","26","ppb","25","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/23/2019","AQS","060370002","2","40.1","ppb","38","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/24/2019","AQS","060370002","2","31.9","ppb","29","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/25/2019","AQS","060370002","2","21.5","ppb","20","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/26/2019","AQS","060370002","2","35.3","ppb","33","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/27/2019","AQS","060370002","2","23.1","ppb","22","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/28/2019","AQS","060370002","2","48.8","ppb","45","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/29/2019","AQS","060370002","2","59.7","ppb","56","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/30/2019","AQS","060370002","2","31.7","ppb","29","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/31/2019","AQS","060370002","2","31.8","ppb","29","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/01/2019","AQS","060370002","2","30","ppb","28","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/02/2019","AQS","060370002","2","19.1","ppb","18","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
